SEARCH:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM NO.,CATEGORY,SECTION,LOCATION,CURRENT STATUS,PARTICULARS,SYSTEM,EQUIPMENT,RS NUMBER,DATE RS SENT,QUOTATION STATUS,BRF NO.,AMOUNT,DATE UPLOADED,BRF STATUS,DATE APPROVED,PR NO.,DATE SENT,PR STATUS,DATE APPROVED,DATE UPLOADED TO SHARE POINT,DATE OF TECHNICAL EVALUATION SENT,PO NO.,DATE APPROVED,PO/WO STATUS,SUPPLIER,DELIVERY STATUS,DATE UPLOADED TO SHAREPOINT (RFP),RELEASED DATE,
1,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR DELIVERY,Supply of Critical Spare Parts for DPTPP Continuous Emission Monitoring System (CEMS),Flue gas System,CEMS,DPC-MAINT-RS-2024-IC-M001,"January 8, 2024",Served,,"₱462,996.95",,APPROVED,"March 19, 2025",PR008948,"March 19, 2025",APPROVED,"March 25, 2025","March 25, 2025","April 24, 2025",FPO-000198,"May 9, 2025",APPROVED,UNIENERGY ENGINEERING LIMITED,,,,
2,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Critical Spare Parts for DPTPP Continuous Opacity Monitoring System (COMS),Flue gas System,COMS,DPC-MAINT-RS-2024-IC-M002,"January 8, 2024",Served,,"₱1,868,598.70",,APPROVED,"March 19, 2025",PR008949,"March 19, 2025",APPROVED,"March 25, 2025","March 25, 2025",,,,,,,,,
3,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR DELIVERY,"Supply of Critical Position, Pressure, & Level Switches for DPTPP Turbine System",Turbine System,Turbine Switches,DPC-MAINT-RS-2024-IC-M005,"May 31, 2024",Served,BRF-PAL-2024-01013,"₱435,726.21","October 24, 2024",APPROVED,"November 13, 2024",PR008673,"November 13, 2024",APPROVED,,,Dec-5-2024,"FPO-000165,
FPO-000164        ","January 21, 2025",APPROVED,INVENCONTROL PTE LTD./SHIN NIPPON MACHINERY CO.LTD.,,,,
4,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR P.O,"Supply of Critical Pressure, Temperature, & Level Gauges for DPTPP Turbine System",Turbine System,Turbine Gauges,DPC-MAINT-RS-2024-IC-M006,"May 31, 2024",Served,BRF-PAL-2024-00995,"₱256,246.08","May 28, 2024",APPROVED,"November 27, 2024",PR008710,"November 27, 2024",APPROVED,"Dec 3, 2024","Dec 3, 2024",Jan-16-2025,,,,,,,,
5,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR DELIVERY,Supply of Critical Pressure & Level Transmitters for DPTPP Turbine System,Turbine System,Turbine Level measuring instruments,DPC-MAINT-RS-2024-IC-M007,"May 31, 2024",Served,BRF-PAL-2024-01011,"₱1,865,339.42","October 24, 2024",APPROVED,"November 13, 2024",PR008671,"November 13, 2024",APPROVED,,,Dec-5-2024,FPO-000162,"January 16, 2025",APPROVED,UNIENERGY ENGINEERING LMTD.,,,,
6,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR P.O,Supply of Critical Temperature Sensors (RTD & Thermocouples) for DPTPP Turbine System,Turbine System,Turbine Temperature Sensors,DPC-MAINT-RS-2024-IC-M008,"May 31, 2024",Served,BRF-PAL-2024-01012,"₱81,213.00","October 24, 2024",APPROVED,"November 13, 2024",PR008672,"November 13, 2024",APPROVED,,,Feb-27-2025,,,,,,,,
7,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Critical Vibration Instruments for DPTPP Turbine System,Turbine System,Turbine Vibration Sensors,DPC-MAINT-RS-2024-IC-M009,"March 20, 2025",Served,BRF-PAL-2025-01269,"₱341,640.00","March 21, 2025",APPROVED,"April 2, 2025",PR008973,"April 2, 2025",APPROVED,"April 10, 2025","April 10, 2025",,,,,,,,,
8,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,DELIVERED,Supply of Critical Input & Output Modules for DPTPP Distributed Control System (DCS),Distributed Control System,I/O Modules,DPC-MAINT-RS-2024-IC-M010,"May 31, 2024",Served,BRF-PAL-2024-00830,"₱3,547,126.87","July 22, 2024",APPROVED,"August 8, 2024",PR008519,"August 8, 2024",APPROVED,,,Sep-30-2024,"FPO-000151,PO-007940","November 4, 2024",APPROVED,"RVCGBI,ATEX AUTOMATION AND TECHNOLOGY",DELIVERED,"November 14, 2024","December 15, 2025",
9,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR REVISION,Supply of Critical spare parts for DPTPP Distributed Control System (DCS) Network Cables,Distributed Control System,Netwrok Cables,DPC-MAINT-RS-2024-IC-M011,"March 4, 2025",Served,BRF-PAL-2025-01336,"₱111,750.00","April 29, 2025",CANCELLED,,,,,,,,,,,,,,,
10,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,DELIVERED,"Supply of Pneumatic Components, Parts, and Accessories for DPTPP Compressed & Instrument Air Systems",Integrated System,Pneumatic Parts And Accessories,DPC-MAINT-RS-2024-IC-M012,"May 31, 2024",Served,BRF-PAL-2024-00831,"₱609,075.09","July 22, 2024",APPROVED,"August 28, 2024",PR008545,"August 28, 2024",APPROVED,,,Oct-09-2024,PO-008023,,APPROVED,AMPTECH INDUSTRIAL,DELIVERED,,,
