UID,Work Order Num,Timestamp,Type,Department,System,Equipment,Sub-Component,Brief Description of Problem or Work,Detailed Description,Date and Time Occurred,Pictures,Upload File,Severity,Maintenance Section,Reported by,Initial Inspection,Parts Needed,Manpower Requirement,Special Tools,Schedule,Methodology,Inspection Status,Maintenance Inspection Completed,Maintenance Superintendent Approval,Maintenance Superintendent Remarks,Maintenance Superintendent Approval Completed,Parts Needed Checking,Manpower Requirement Checking,Special Tools Checking,Schedule Checking,Planning Remarks,Planning Finished,Required Safety Permits,Remarks,Required PPEs,Safety Permit Identification Completed,Manpower,Upload PTW,Maintenance PTW Completed,Required Safety Permits Checking,Remarks Checking,Required PPEs Checking,Manpower Checking,LOTO Checking,Safety Inspection Completed,Actual Work Done,Actual Parts Used,Photos,Maintenance Remarks,Parameters Remarks,Date and Time Finished,QA QC,QA QC Remarks,File Upload,RCA Upload,QA/QC Finished,Equipment Status,WO Close Out,Operation Closed Out Completed,Current Status,Breakdown Count,Work Request Status,Formula 1,Formula 2,Planning Only,*Planning Remarks,WR Status,Days Delayed,Images
c7eb8cdb,DPTPP-WR-2024-001,10/3/2024 14:28:06,CMS,Operations,Biomass Handling System,Biomass Bunker,Sight Glass,Not clear sight glass of Biomass Bunker A&B,Cannot see the inside of the Biomass bunker due to not clear sight glass,9/28/2024 0:00:00,Work Order Request_Images/c7eb8cdb.Pictures.063923.jpg,,Sustainable,Mechanical,Jude Mykael Impel,Inspected,17cm x 14cm X 5mm laminated glass,,N/A,Non-Shutdown,Work Order Request_Files_/c7eb8cdb.Methodology.052211.pdf,Awaiting parts,10/4/2024 9:06:00,TRUE,Please specify dimension of glass,10/4/2024 9:57:19,TRUE,TRUE,TRUE,TRUE,For scheduling 10/31/24,10/30/2024 22:20:55,"Permit to Work , Lock Out Tag Out",Ensure all safety protocols are followed. Wear required PPEs properly. Perform housekeeping after the work is done.,"hard hat, safety shoes, face mask",11/20/2024 9:32:48,"Mechanic_R. Parcon , Mechanic_R. Botavara",Work Order Request_Images/c7eb8cdb.Upload PTW.052211.jpg,11/20/2024 13:19:44,TRUE,TRUE,TRUE,TRUE,TRUE,11/20/2024 13:34:28,Replaced new sight glass,17cm x 14cm glass,Work Order Request_Images/c7eb8cdb.Photos.052211.jpg,Repaired,Open sight glass window in case of fire to avoid damage to the glass,11/20/2024 13:20:18,,"Sight glass installation and testing have been inspected and verified to meet project specifications, with no defects observed.",Work Order Request_Files_/c7eb8cdb.File Upload.092436.xlsx - DPC-TSD-IWR-029.pdf,,11/21/2024 17:15:16,Operational,Closed,3/18/2025 12:02:14,0,0,Closed,Closed,Closed,,Done,Done,Repaired in 166 days,https://drive.google.com/file/d/1qT86xlClN5ziCTE5JUECc1RicV7qiYcd/view
3f838eeb,DPTPP-WR-2024-002,10/3/2024 15:32:25,Modification,Technical Services,69kV High Voltage System (Substation),,DPTPP Switchyard Control System,Disable the Deadbus interlock of 53NAR4,To install selector switch to disable the deadbus interlock of 53NAR4 for Grid Blackstart use,9/2/2024 0:00:00,Work Order Request_Images/3f838eeb.Pictures.075247.png,Work Order Request_Files_/3f838eeb.Upload File.080942.pdf,Sustainable,Electrical,Lowell D. Lopot,Inspected,"1. 1.5mm2 thhn cable - 10 meters, 2. 2way Selector switch",,None,Equipment Shutdown,Work Order Request_Files_/3f838eeb.Methodology.055259.xlsx,Waiting for shutdown to Install and testing,10/5/2024 22:43:00,TRUE,,10/6/2024 17:47:46,FALSE,TRUE,TRUE,TRUE,Materials already purchased. To be scheduled during Shutdown or Annual PMS (January 2025) whichever comes first.,10/24/2024 11:49:57,"Permit to Work , Lock Out Tag Out",Ensure safety protocols are followed at all times. Perform housekeeping after the work is done.,"hard hat, safety shoes, jacket",10/24/2024 16:07:19,"Electrician_E. Catbagan , Electrician_A. Fabrigas",Work Order Request_Files_/3f838eeb.Upload PTW.055259.docx,3/25/2025 13:53:15,TRUE,TRUE,TRUE,TRUE,TRUE,3/25/2025 15:06:11,"For close-out, WR already withdrawn","For close-out, WR already withdrawn",Work Order Request_Images/3f838eeb.Photos.055259.jpg,"For close-out, WR already withdrawn","For close-out, WR already withdrawn",3/25/2025 13:53:31,,Switchyard operators should create work instruction how to blackstart the grid and turn-over to every operations team.,Work Order Request_Files_/3f838eeb.File Upload.002017.pdf,,4/22/2025 8:19:03,Operational,Closed,5/19/2025 8:09:22,0,0,Closed,Closed,Closed,,Done,Done,Repaired in 228 days,https://drive.google.com/file/d/12fKPnZNH2Lb3_bAgjq1Lx7K56Di75Ybx/view
58800f28,DPTPP-WR-2024-003,10/4/2024 10:13:29,Modification,Operations,Limestone Handling System,Star Feeder/Limestone feeder,Limestone feeder,Install compressed air in star feeder for online cleaning,Limestone accumulation in star feeder that cause of Intermittent limestone feeding  flow in result SO2 and NO fluctuation.,10/4/2024 0:00:00,Work Order Request_Images/58800f28.Pictures.023444.jpg,,Sustainable,TSD,George Domingo A De La Torre,For Inspection,"Awaiting for TSD recommendations, design and materials needed",,None,Non-Shutdown,,To be scheduled,10/4/2024 15:09:00,TRUE,,10/4/2024 15:28:46,TRUE,TRUE,TRUE,TRUE,"Ongoing sourcing of Materials c/o Palawan PLD (RS-2025-ME-M37), Awaiting feedback",10/4/2024 15:33:35,"Permit to Work , Lock Out Tag Out",Ensure all safety protocols are followed. Wear required PPEs properly. Perform housekeeping after the work is done.,"hard hat, safety shoes, face mask",11/20/2024 9:36:00,Mech. Sup'v._A. Borlagdatan,,,,,,,,,,,,,,,,,,,,,,,0,0,Maintenance,Operations,Maintenance,Closed,Done,Done,Pending for 325 days,https://drive.google.com/file/d/1P4AyXJkFSFrQuXWNH7ksn8l2fIZ5uENs/view
d9081cf8,DPTPP-WR-2024-004,10/5/2024 19:32:13,CMS,Operations,Electro-Chlorination Water System,Sodium Hypochlorite Generator B,Flow meter,There is a flow reading even not in used,There is flow reading even not in used.,10/5/2024 20:01:00,Work Order Request_Images/d9081cf8.Pictures.122238.jpg,,Breakdown,I&C,Jonathan Ragudo Hernandez,Inspected,None,,None,Non-Shutdown,Work Order Request_Files_/d9081cf8.Methodology.011358.docx,Completed,10/6/2024 14:26:00,TRUE,,10/10/2024 7:49:59,TRUE,TRUE,TRUE,TRUE,Good for Scheduling 10.10.2024,10/10/2024 10:45:15,Permit to Work,Buddy System,"Hard Hat, Working Clothes, Gloves, Safety Shoes",10/11/2024 8:39:54,I&C Tech._A. Silang,Work Order Request_Images/d9081cf8.Upload PTW.053722.jpg,10/15/2024 13:35:01,TRUE,TRUE,TRUE,TRUE,FALSE,10/17/2024 7:32:34,Retight probe mounting,None,Work Order Request_Images/d9081cf8.Photos.053722.jpg,Flow reading normal,Flowmeter reading is zero at no flow,10/15/2024 13:35:27,,Keep watch on the mounting of the ultrasonic flowmeter if secured or fastened to ensure the flowmeter probe is transmitting correct data.,Work Order Request_Files_/d9081cf8.File Upload.100947.pdf,,10/17/2024 18:09:36,Operational,Closed,10/28/2024 18:31:10,0,1,Closed,Closed,Closed,,Done,Done,Repaired in 23 days,https://drive.google.com/file/d/1vCBOC79WIMjdLpUjtDD2Pra7OEKG6CiC/view
c44d1b1f,DPTPP-WR-2024-005,10/7/2024 21:21:56,CMS,Operations,Boiler Blowdown System,Continuous Blowdown Tank,Pipe Flange,Steam Leak,Steam leaking coming from the pipe flange of side mounted electrode water level sensor of continuous blowdown flash tank .,10/7/2024 20:30:00,Work Order Request_Images/c44d1b1f.Pictures.134425.jpg,Work Order Request_Files_/c44d1b1f.Upload File.144704.pdf,Sustainable,Mechanical,Mark Alfie Alipoon/J.Factor,Inspected,Flexitallic gasket - ¾ size,,None,Non-Shutdown,Work Order Request_Images/c44d1b1f.Methodology.060606.jpg,Isolated valves. Remove old garlock gasket then replaced with flexitallic. Reopened valves then conducted leak test.,10/9/2024 11:00:00,TRUE,,10/10/2024 7:51:45,TRUE,TRUE,TRUE,TRUE,Good for Scheduling 10.10.2024,10/10/2024 10:47:35,Permit to Work,"Required HIRAC Assessment, Please coordinate with the operations team before commencing any work activities or to prevent steam leaks.","Safety glasses, Hard hats, and Heat-resistant gloves, Safety Shoes, Working Clothes",10/11/2024 9:35:39,"Mechanic_J.Mumar , Mechanic_R. Parcon , Welder_J. Zonio",Work Order Request_Images/c44d1b1f.Upload PTW.065702.jpg,10/16/2024 14:55:13,TRUE,TRUE,TRUE,TRUE,FALSE,10/17/2024 7:33:05,Isolated valves. Remove old garlock gasket then replaced with flexitallic. Reopened valves then conducted leak test.,Flexitallic gasket,Work Order Request_Images/c44d1b1f.Photos.065702.jpg,Leak repaired,Monitor daily,10/16/2024 14:55:41,,"These remarks help ensure that QA/QC processes for steam leaks in blowdown tanks are comprehensive, addressing safety, maintenance, and operational efficiency.",,,10/17/2024 18:55:52,Operational,Closed,10/18/2024 15:07:34,0,0,Closed,Closed,Closed,,Done,Done,Repaired in 11 days,https://drive.google.com/file/d/1YhVLPbveAJGD5_-Esp8UAaoRqR8-paFT/view
c89b8ba4,DPTPP-WR-2024-006,10/7/2024 23:54:28,CMS,Operations,Slag Removal System,Slag Cooler A,Cold Slag Machine Gear Reducer A,Oil Leak,Oil leak coming from the cold slag machine gear reducer A of slag cooler.,10/7/2024 23:00:00,Work Order Request_Images/c89b8ba4.Pictures.160051.jpg,,Sustainable,Mechanical,Mark Alfie Alipoon/J.Factor,Inspected,Oil seal - Drive motor side,,None,Equipment Shutdown,Work Order Request_Images/c89b8ba4.Methodology.072204.jpg,For request of new oil seal. Top-up lube oil. Monitor lube oil level.,10/9/2024 15:21:00,TRUE,,10/10/2024 7:53:00,TRUE,TRUE,TRUE,TRUE,Already replaced gasket,3/14/2025 15:16:50,Permit to Work,"SECURE REQUIRED SAFETY PERMITS, WEAR PROPER PPE,  ENSURE HOUSEKEEPING AT ALL TIMES, COORDINATE W/ RESPECTIVE DEPT., PROPERLY LABEL AND DISPOSE WASTE GENERATED","HARD HAT, SAFETY SHOES, JACKET AND LONG PANTS, EAR MUFFS",3/17/2025 11:10:45,"Mech. Sup'v._A. Borlagdatan , Mechanic_R. Parcon",,,,,,,,,,,,,,,,,,,,,,,0,0,Maintenance,Operations,Maintenance,Closed,Done,Done,Pending for 322 days,https://drive.google.com/file/d/1RBQdfw98J8-KvrcTnZA6EtmOdZ6-ONAV/view
f162d4f1,DPTPP-WR-2024-007,10/8/2024 17:25:29,CMS,Operations,Slag Removal System,Chain Conveyor A,Scrapper and slider,abnormal sound,"during routine inspection, i heard unusual sound, suspected metal to metal contact of scrapper to slider (sumasabit ang scrapper)",10/8/2024 17:00:00,Work Order Request_Images/f162d4f1.Pictures.093147.jpg,Work Order Request_Files_/f162d4f1.Upload File.144812.pdf,Sustainable,Mechanical,John Paul S. Aque/ Ferdinand A. Bona,Inspected,None,,Welding Machine,Equipment Shutdown,Work Order Request_Images/f162d4f1.Methodology.072633.jpg,"Inspected chain sliders, adjusted scraper chain tension and modified 1 pc top cover.",10/9/2024 15:26:00,TRUE,,10/10/2024 7:53:59,TRUE,TRUE,TRUE,TRUE,Good for Scheduling 10.10.2024,10/10/2024 10:48:29,Permit to Work,"Since this involves rotating machinery, a buddy system must be in place during work inspections, and coordination with the operations team is required","Working Clothes, Safety Glass, Gloves, Safety Shoes, Face Mask",10/11/2024 12:53:34,"Mechanic_J.Mumar , Mechanic_R. Parcon , Mechanic_C. Ilagan , Welder_J. Zonio",Work Order Request_Images/f162d4f1.Upload PTW.065912.jpg,10/16/2024 14:57:42,TRUE,TRUE,TRUE,TRUE,FALSE,10/17/2024 7:33:48,"Inspected chain sliders, adjusted scraper chain tension and modified 1 pc top cover.",None,Work Order Request_Images/f162d4f1.Photos.065912.jpg,Monitor daily,None,10/16/2024 14:57:54,,monitoring and corrective maintenance help keep the slag removal system running effeciently and minimize down time.,Work Order Request_Files_/f162d4f1.File Upload.111122.pdf,,10/17/2024 18:10:58,Operational,Closed,10/18/2024 15:09:30,0,0,Closed,Closed,Closed,Closed,Done,Done,Repaired in 10 days,https://drive.google.com/file/d/1A_795MGqjXmAJgoa6MAocXStfuaucrAV/view
d02f89a7,DPTPP-WR-2024-008,10/8/2024 21:28:55,CMS,Operations,Water Treatment System,Demineralized Water Pump B,Demineralizer Water Pump B,Demin Pump B suddenly stop without breaker tripping,Demin Pump B suddenly stop during normal operation without any breaker tripping.,10/7/2024 16:47:00,Work Order Request_Images/d02f89a7.Pictures.134315.jpg,,Sustainable,I&C,Eliezer E. Rodriguez/ Glenn B.De Guzman,For close-out,None,1,None,Non-Shutdown,Work Order Request_Files_/d02f89a7.Methodology.052438.doc,I&C inspection completed,10/8/2024 16:00:00,TRUE,,10/10/2024 7:52:01,TRUE,TRUE,TRUE,TRUE,Good for Scheduling 10.10.2024,10/10/2024 14:03:53,"Permit to Work , Lock Out Tag Out","Before any inspection or intervention, ensure the pump is isolated and tagged out to prevent accidental start-up (Lockout/Tagout - LOTO procedure).","Working Clothes, Gloves, hard hat, safety shoes",10/11/2024 13:16:51,I&C. Sup'v._J. Biona,Work Order Request_Images/d02f89a7.Upload PTW.052438.jpg,10/17/2024 13:22:45,TRUE,TRUE,TRUE,TRUE,TRUE,10/23/2024 16:00:28,Review of history trends and performed simulations,N,Work Order Request_Images/d02f89a7.Photos.052438.jpg,No control system or instrument fault found (see report on Methodology),All parameters are normal,10/17/2024 13:23:37,,The plant chemist and its water treatment operators are advised to keep being watchful and eye's on their system and equipments.,Work Order Request_Files_/d02f89a7.File Upload.101058.pdf,,10/17/2024 18:10:32,Operational,Closed,10/28/2024 18:30:53,0,0,Closed,Closed,Closed,,Done,Done,Repaired in 20 days,https://drive.google.com/file/d/1oDCApvXVXGHl_hxZHZBU_stSKh4oTS6u/view
7cfc64bd,DPTPP-WR-2024-009,10/9/2024 1:58:40,CMS,Operations,Coal Pipe System,Coal Feeder C,Transition Chute,Coal Dust Leak,Coal dust leaking from the transition chute of coal feeder C.,10/8/2024 20:20:00,Work Order Request_Images/7cfc64bd.Pictures.181104.jpg,,Sustainable,Mechanical,Mark Alfie Alipoon/J.Factor,Inspected,None,,Epxylon,Non-Shutdown,Work Order Request_Images/7cfc64bd.Methodology.060209.jpg,Repaired using epxylon,10/9/2024 11:00:00,TRUE,,10/10/2024 7:55:12,TRUE,TRUE,TRUE,TRUE,Good for Scheduling 10.10.2024,10/10/2024 14:04:27,"Permit to Work , Hot Works","Ensure proper ventilation in the area to disperse coal dust and prevent the buildup of combustible dust, which could lead to an explosion. Mark off or barricade the affected area to prevent unauthorized personnel from entering. Coal dust can be highly flammable and pose an inhalation hazard. stop the coal feeder to prevent further coal dust leakage and reduce potential hazards like fires or explosions.","Working Clothes, Gloves, Hard Hat, Safety Shoes, Face Mask and Fire blanket/resistant for (Welding Works)",10/11/2024 13:24:30,"Mechanic_J.Mumar , Mechanic_R. Parcon , Welder_J. Zonio",Work Order Request_Images/7cfc64bd.Upload PTW.073816.jpg,10/14/2024 15:37:04,TRUE,TRUE,TRUE,TRUE,FALSE,10/15/2024 15:46:55,Repaired using epxylon,None,Work Order Request_Images/7cfc64bd.Photos.073816.jpg,Done repair,None,10/14/2024 15:37:25,,The inspection has been completed and repaired using Epoxylon.,,,10/16/2024 8:46:44,Operational,Closed,10/18/2024 15:15:03,0,0,Closed,Closed,Closed,,Done,Done,Repaired in 9 days,https://drive.google.com/file/d/1rY55oQI27xdI_L2-TJJhATXqywCCYHWe/view
1302be44,DPTPP-WR-2024-010,10/9/2024 2:04:30,CMS,Operations,Biomass Handling System,Belt Conveyor 3C,Emergency Pull Rope Cable,Broke emergency pull rope cable,Broke emergency pull rope cable of 3C conveyor belt.,10/8/2024 20:35:00,Work Order Request_Images/1302be44.Pictures.181115.jpg,Work Order Request_Files_/1302be44.Upload File.152420.pdf,Sustainable,Mechanical,Mark Philip Langbo/J.Factor,Inspected,Nylon Rope,,None,Non-Shutdown,Work Order Request_Images/1302be44.Methodology.020913.jpg,For replacement of pull cable. Awaiting requested parts,10/11/2024 10:09:12,TRUE,,10/11/2024 15:11:06,TRUE,TRUE,TRUE,TRUE,Good for scheduling 10/18/2024,10/16/2024 16:38:09,Permit to Work,N/A,"Hard hat, Safety shoes, Cover all/ jacket and pants, Eye protector",10/21/2024 12:57:41,"Mechanic_J.Mumar , Mechanic_R. Parcon , Welder_J. Zonio",Work Order Request_Images/1302be44.Upload PTW.085456.jpg,10/22/2024 16:53:15,TRUE,TRUE,TRUE,TRUE,TRUE,10/23/2024 8:34:59,Repaired snapped part using nylon rope.,3mm nylon rope,Work Order Request_Images/1302be44.Photos.085456.jpg,Repaired,Monitor condition,10/22/2024 16:54:06,,"The repaired emergency pull rope cable meets safety standards and operational requirements, ensuring reliable functionality.",,,10/23/2024 14:09:33,Operational,Closed,10/24/2024 1:59:02,0,0,Closed,Closed,Closed,,Done,Done,Repaired in 15 days,https://drive.google.com/file/d/1rgk2Ytn2QMlcGMlVRC8RRNXOkeYBi9bw/view
